Case Number,Date/Time,Created Time,Category,Subject,Corporate Name,Mode of Payment,Resolution
72892067,1/3/2025,03:09 pm,Pine Gateway Complaint Related,Drop in CR for merchant- Heymeta,MetaTech I Tech Pvt Ltd PG,,SR dropped issue
72931265,1/6/2025,11:55 am,Pine Gateway Complaint Related,Issues with Indian Bank Transactions,Trading Solutions Limited PG,,Resolved by analysis
73288695,1/21/2025,10:36 am,Pine Gateway Complaint Related,Clarification required on SR Failure reason- {INVALID CARD DATA},DIGITAL COMMERCE LTD,,Resolved by analysis
73288705,1/21/2025,10:37 am,Pine Gateway Complaint Related,Clarification required on SR Failure reason- {INVALID TRANSACTION TYPE},DIGITAL COMMERCE LTD,,Low success Rate
73075721,1/13/2025,10:51 am,Pine Gateway Complaint Related,Re: Drop in Volume Mindsarray,TechArray Network Pvt Ltd,,Closing this case against this case id 73075768
73075768,1/13/2025,10:57 am,Pine Gateway Complaint Related,Volume Dip in Pay1 MID 326625,Techarray Network Pvt Ltd B2C PG,,
73083989,1/13/2025,03:44 pm,Pine Gateway Complaint Related,Drop in volume for TDP,Regional Political Party,,
73091066,1/14/2025,08:48 am,Pine Gateway Complaint Related,Observing dip in volume for PDRS and TDP,Regional Political Party,,As discussed meetings has been arranged between our tech and merchant tech hence closing this ticket to avoid TAT breach.
73127890,1/15/2025,01:15 pm,Pine Gateway Complaint Related,Drop in SR and Volume,INFOSERVE TECHNOLOGIES PRIVATE LIMITED,,
73348346,1/22/2025,08:48 pm,Pine Gateway Complaint Related,"Observing zero traffic from Zepto(338632,338634,338635)",FOODMART,,internal update
73355980,1/23/2025,12:26 am,Pine Gateway Complaint Related,Low SR and high CA cases for  Ranch RT Private Limited | 338657,Gateway RT Private Limited MID-338657,,
73375530,1/23/2025,12:03 pm,Pine Gateway Complaint Related,Low SR issue,INFOSERVE TECHNOLOGIES PRIVATE LIMITED,,
73737881,2/3/2025,04:48 pm,Pine Gateway Complaint Related,FW: [ Urgent ] Pinelabs <> Simpl Low SR Transaction Level Data,TECH SIGMA TECHNOLOGIES PRIVATE LIMITED PG,,SR dropped issue
73780672,2/5/2025,08:16 am,Pine Gateway Complaint Related,Fw: Drop in SR  for Paythrough Softwares and Solutions Pvt Ltd B2C PG (V2)  & KRNVINNOVATIVES PRIVATE LIMITED  (V3),Paysoft Softwares and Solutions Private Limited,,"Low SR , same has been shared with merchant"
74303293,2/24/2025,06:31 pm,Pine Gateway Complaint Related,Re:[## 664678 ##] bestprice <> PINELABS <> Zero SR Payment Method(s) (Volume ~ 124 txns),,,
73828720,2/6/2025,04:36 pm,Pine Gateway Complaint Related,Spike in SR Failure reason- TRANSACTION FAILED DUE TO LATE AUTH_Infiniti Retail,DIGITAL COMMERCE LTD,,SR dropped issue
73810662,2/6/2025,10:26 am,Pine Gateway Complaint Related,Re: Pinelabs - UPI SR is low,Jewelrymart,,"Internal Communication, No action required"
73947098,2/10/2025,04:03 pm,Pine Gateway Complaint Related,Low Transaction Flow Observation for Merchants | V3,INFOSERVE TECHNOLOGIES PRIVATE LIMITED,,Email shared to merchant
74189799,2/19/2025,06:40 pm,Pine Gateway Complaint Related,Caratlane SR Dip,jewelrymart trading private limited_001GB00003EXmCGYA1,,Under 90 days merchant.
74372997,2/26/2025,11:36 am,Pine Gateway Complaint Related,RE: SR Pinelab,Travel Booking Company Private Limited,,SR update has given
73287084,1/21/2025,09:27 am,Pine Gateway Complaint Related,Reshare and reconfirm login credentials for merchant console- Zepto 3 accounts,FOODMART SELLERS PRIVATE LIMITED (QuickDelivery),,
71506398,11/20/2024,11:38 am,PG-Dashboard related issue,Change DBA name Autope Payment Solutions,,,
70762965,11/8/2024,04:32 pm,PG-Transaction issue,RE: UTX Travels _ PG Activation,Travel Services Private Limited_6925,,
70592151,11/1/2024,08:00 am,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/01/2024 08:00:00 UTC 5:30 for pgsupport@pinelabs.com,,,
70624968,11/2/2024,08:04 am,Miscellaneous,PG_MERCHANT_MID_TID_INFO Daily was executed at 02-11-2024 08:00:26,Internal Communication,,
70638276,11/2/2024,08:45 pm,Miscellaneous,Pinelabs Payment Gateway - Upstart Tech [Missing Payment Response],Tech Ventures Pvt Ltd PG,,
70662189,11/4/2024,02:56 pm,Miscellaneous,FW: Query regarding Re KYC,MERCHANT ARIF AMZ PG,,
70676052,11/5/2024,10:57 am,Miscellaneous,Re: Missing data for 18 merchants,Electronics India Private Limited PG,,
70688657,11/5/2024,05:08 pm,Miscellaneous,General Websites for paid posting HQ Websites https://designmode24.net/,,,
70733427,11/7/2024,04:23 pm,Miscellaneous,I have no machine,,,
70731436,11/7/2024,02:43 pm,Miscellaneous,Shopify - Payouts,NA,,
70733116,11/7/2024,04:01 pm,Miscellaneous,Customer query,Customer R,,
70751011,11/8/2024,10:54 am,Miscellaneous,RE: ** PROBLEM Service Alert: INTAWPGTUI213/PGController_443 is CRITICAL **,NA,,
70753094,11/8/2024,11:59 am,Miscellaneous,,,,
70761661,11/8/2024,03:27 pm,Miscellaneous,,Merchant trading Private Limited Payout,,
70777111,11/9/2024,02:36 pm,Miscellaneous,GW00160-Bin range not enabled | BAU-110630,,,
70821237,11/12/2024,09:29 am,Miscellaneous,Pinelab FIRC-Oct 2024,,,
70821345,11/12/2024,09:50 am,Miscellaneous,RE: Daily Volume Tracking for Preferred Commercials _11-11-2024,Property Technologies Solutions Pvt Ltd Education PG,,
70832845,11/12/2024,02:08 pm,Miscellaneous,Cust ID for Ultron,ELECTRONICS COMMERCE PRIVATE LIMITED Techbrand,,
70830861,11/12/2024,01:11 pm,Miscellaneous,V3 demo for merchant,Internal Communication,,
70832962,11/12/2024,02:11 pm,Miscellaneous,"Fw: Strengthen Your Security: Update to TLS 1.2 and Approved Cipher Suites by 20th November, 2024",,,
70837632,11/12/2024,05:07 pm,Miscellaneous,V2 demo for merchant,Electronics Commerce Private Limited,,
70841788,11/12/2024,06:16 pm,Miscellaneous,HDFC_Wolf_Fee to be created_12 Nov 2024,KNOWLEDGE INDIA PVT LTD CITI,,
70844484,11/12/2024,07:36 pm,Miscellaneous,Integration of Settlement API - SheCommerz,Ecommerz- PRIVATE Bank PG,,
70848664,11/13/2024,08:00 am,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/13/2024 08:00:00 UTC 5:30 for pgsupport@pinelabs.com,,,
70851146,11/13/2024,11:40 am,Miscellaneous,Fw: New Launch: Rupay Pixel Credit Card- EMI enablement,NA,,
70855198,11/13/2024,03:30 pm,Miscellaneous,ICICI Lombard || Pricing Revision,GENERAL Insurance Company ltd PG,,
71000050,11/14/2024,01:57 pm,Miscellaneous,Regarding UPI payment,,,
70995716,11/14/2024,01:36 pm,Miscellaneous,Multi cart,TELECOM SERVICES PVT LTD-PG,,
71012256,11/14/2024,03:21 pm,Miscellaneous,Test,Internal Communication,,
71021838,11/14/2024,04:26 pm,Miscellaneous,RE: Easemytrip Approval | Railway MCC,Travelease,,
71027526,11/14/2024,05:08 pm,Miscellaneous,Aher wines are return/submitted POS machin to Pine Labs. But our billing is not Stop/Closed.,,,
71031035,11/14/2024,05:35 pm,Miscellaneous,TDS Certificate Q2 (July 2024 to Sep 2024)II Pinelab,Learning Tech Pvt Ltd Edu Platform PG,,
71171518,11/15/2024,01:14 pm,Miscellaneous,Billdesk Bank MPR - 13-11-2024,,,
71203205,11/15/2024,05:24 pm,Miscellaneous,RE: HDFC_Wolf_Fee to be created_15 Nov 2024_HUL,PRIVATE BANK,,
71207391,11/15/2024,06:07 pm,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/15/2024 16:00:00 UTC 5:30 for pgsupport@pinelabs.com,,,
71207308,11/15/2024,06:02 pm,Miscellaneous,Please check high Authority Score and Traffic sites for guest posting and link building with prices.,,,
71317717,11/16/2024,07:37 pm,Miscellaneous,null NewTicket,,,
71360720,11/18/2024,10:54 am,Miscellaneous,HDFC PG Card (15487) MPR Not received- 18-Nov'24,Internal Communication,,
71439636,11/19/2024,07:51 am,Miscellaneous,Important Communication: Bank Holiday Of Maharashtra State Election On 20th Nov 2024,Internal Communication,,
71439753,11/19/2024,08:00 am,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/19/2024 08:00:00 UTC 5:30 for pgsupport@pinelabs.com,Tech Solutions Pvt Ltd PG Appliances,,
71439820,11/19/2024,08:06 am,Miscellaneous,PG_MERCHANT_MID_TID_INFO Daily was executed at 19-11-2024 08:00:02,Internal Communication,,
71453515,11/19/2024,12:36 pm,Miscellaneous,TDS Refund From Pinelabs -Gameskraft Technologies- Q1-Q4 | FY 2023-24,Gaming Technologies Private Limited,,
71548573,11/21/2024,12:56 pm,Miscellaneous,Re: Plural Live credentials,MERCHANT PAUL PG,,
71571951,11/21/2024,08:15 pm,Miscellaneous,Configuration changes for Cashfree FlowWise for Account- gaurav@easemydeal.com,Digital Solutions Private Limited_7019,,
71595928,11/22/2024,11:37 am,Miscellaneous,Requesting Current MDR Rates for 326697 MID,Paycard Private Limited_6881,,
71596072,11/22/2024,11:43 am,Miscellaneous,Request for POC details for TDS Deductions / Reimbursements,Paycard Private Limited_6881,,
71602065,11/22/2024,01:57 pm,Miscellaneous,Integration of Settlement API - SheCommerz NewTicket,Ecommerz- PRIVATE Bank PG,,
71733105,11/25/2024,03:30 pm,Miscellaneous,TDS Certificate Q2 (July 2024 to Sep 2024)II Pinelab NewTicket,Learning Tech Pvt Ltd Edu Platform PG,,
71739038,11/25/2024,05:44 pm,Miscellaneous,TDS Refund _Magicbricks Realty Services | Pine Labs,PROPERTY SERVICES LIMITED PG,,
71770339,11/26/2024,01:34 pm,Miscellaneous,Requesting Current MDR Rates for 326697 MID NewTicket,Paycard Private Limited_6881,,
71770418,11/26/2024,01:36 pm,Miscellaneous,Required Plural TID numbers,Tech Private limited,,
71770357,11/26/2024,01:35 pm,Miscellaneous,Request for POC details for TDS Deductions / Reimbursements NewTicket,Paycard Private Limited_6881,,
71789276,11/26/2024,10:42 pm,Miscellaneous,UserId and password,,,
71815263,11/27/2024,03:24 pm,Miscellaneous,Need test mode details,Electronics Investment Private Limited PG,,
71822066,11/27/2024,05:25 pm,Miscellaneous,Need test mode details,Electronics Investment Private Limited PG,,
71822403,11/27/2024,05:33 pm,Miscellaneous,Urgent: Payment settled in a different bank account | Premium Collection,MERCHANT SOMA AMZ PG,,
71860920,11/28/2024,05:55 pm,Miscellaneous,Request,MERCHANT SOMA AMZ PG,,
71881005,11/29/2024,11:31 am,Miscellaneous,RE: ORDER_32001346363 Not coming in Subvention file,APPLIANCES INDIA PRIVATE LIMITED,,
71901374,11/29/2024,04:20 pm,Miscellaneous,Urgent: Issue with Payment Reflecting Full Amount,,,
71907118,11/29/2024,06:09 pm,Miscellaneous,SSL TDS Certificate Quarter 2 for FY 2024-25 -PINE LABS PRIVATE LIMITED,Fashion Stop Limited_6821,,
70686943,11/5/2024,04:34 pm,Miscellaneous,RE: Priority - CRED DPSPL<> Input tax credit availment,Innovate Paytech solution Private LTD,,
70687024,11/5/2024,04:41 pm,Miscellaneous,RE: Priority - CRED DPSPL<> Input tax credit availment,Innovate Paytech solution Private LTD,,
70698067,11/5/2024,09:05 pm,Miscellaneous,RE: Need TID details for RD.in MID 1536,Mega Retail Limited- Digital Store,,
70801081,11/11/2024,10:31 am,Miscellaneous,<Urgent>TDS Reimbursement FTM Oct'24_INR 3.24 lac/-_Pine Labs Pvt. Ltd. [4786080],Electronics India Private Limited PG,,
70805729,11/11/2024,01:35 pm,Miscellaneous,Plural Dashboard V2 Issues,Electronics India Private Limited PG,,
70835785,11/12/2024,04:01 pm,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/12/2024 16:00:00 UTC 5:30 for pg.keymerchants@pinelabs.com,Electronics Commerce Private Limited,,
70833950,11/12/2024,02:39 pm,Miscellaneous,Clarification regarding settlement on 15-11-2024,Property Technologies Sol Pvt Ltd,,
70848659,11/13/2024,08:00 am,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/13/2024 08:00:00 UTC 5:30 for pg.keymerchants@pinelabs.com,Mega Retail Limited- Digital Store,,
70951490,11/14/2024,08:00 am,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/14/2024 08:00:00 UTC 5:30 for pg.keymerchants@pinelabs.com,,,
70986787,11/14/2024,12:45 pm,Miscellaneous,Pinelabs TDS reimbursement from Q-2 of FY 2024-25,Solution Systems Private Limited,,
71134664,11/15/2024,08:00 am,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/15/2024 08:00:00 UTC 5:30 for pg.keymerchants@pinelabs.com,Internal Communication,,
71154020,11/15/2024,10:47 am,Miscellaneous,RE: Penlty charge recovery,,,
71207425,11/15/2024,06:08 pm,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/15/2024 16:00:00 UTC 5:30 for pg.keymerchants@pinelabs.com,Electronics Commerce Private Limited,,
71222297,11/15/2024,09:00 pm,Miscellaneous,RE: STANVERSE CASE CART ABANDONMENT TRANSACTIONS REPORTED,TECHVERSE TECHNOLOGIES PRIVATE LIM_6874,,
71222282,11/15/2024,08:59 pm,Miscellaneous,Re: STANVERSE CASE CART ABANDONMENT TRANSACTIONS REPORTED,TECHVERSE TECHNOLOGIES PRIVATE LIM_6874,,
71439752,11/19/2024,08:00 am,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/19/2024 08:00:00 UTC 5:30 for pg.keymerchants@pinelabs.com,Tech Solutions Pvt Ltd PG Appliances,,
71469971,11/19/2024,04:31 pm,Miscellaneous,RE: Reimbursement of TDS for FY 24-25 Q2,Property Technologies Solutions Pvt Ltd Education PG,,
71567098,11/21/2024,06:18 pm,Miscellaneous,Excess Charges Levied,Property Technologies Property Technologies Solutions Private Limited Pvt Ltd,,
71611429,11/22/2024,04:54 pm,Miscellaneous,FW: ******URGENT*****RE: PayZap Enablement - Pine Labs Merchants,Smart systems Pvt ltd-Tech buy,,
71619501,11/22/2024,07:45 pm,Miscellaneous,RE: [JIRA] (BAU-110919) Issuer_ Axis Bank_ Oct'24 Transactions rejected by the bank_13597|| EMI Conversion,multiple merchant,,
71747059,11/25/2024,09:11 pm,Miscellaneous,SFTP Setup for PG MIS || Flipkart,Ecommerce Internet Pvt Ltd ECOM PG,,
71803672,11/27/2024,10:59 am,Miscellaneous,PG TDS Certificate for Q2 FY 2024-25 - Pinelabs,Ecommerce Internet Pvt Ltd Ecom PG,,
71880887,11/29/2024,11:26 am,Miscellaneous,RE: ORDER_32001346363 Not coming in Subvention file,Payment So Pvt Ltd METRO PG,,
71897593,11/29/2024,03:21 pm,Miscellaneous,Urgent | Wrong Charge Deduction | Agarwal Packers & Movers,LOGISTICS AND MOVERS LIMITED_7021,,
71907335,11/29/2024,06:13 pm,Miscellaneous,Re: Pending Settlement for Transactions,,,
70681406,11/5/2024,01:43 pm,Miscellaneous,Unable to get raw report of transactions or refunds,Commerce Hub Private Limited_6882,,
70689857,11/5/2024,06:04 pm,Miscellaneous,TAT Crossed Chargeback Cases <CheQ-Pine Labs>,FINTECH INNOVATIONS PVT LTD PG,,
70835766,11/12/2024,04:00 pm,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/12/2024 16:00:00 UTC 5:30 for pluralservice@pinelabs.com,,,
70848661,11/13/2024,08:00 am,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 11/13/2024 08:00:00 UTC 5:30 for pluralservice@pinelabs.com,TRAVEL PLANNERS LIMITED - PG,,
71549593,11/21/2024,01:14 pm,Miscellaneous,Balance confirmation as on 30th Sept 2024 <Pinelabs>,FINTECH INNOVATIONS PVT LTD PG,,
71768326,11/26/2024,12:49 pm,Miscellaneous,Tracker : Pending Issues with Pinelab : As on 26-Nov-2024,Community Small Finance Bank,,
71779133,11/26/2024,05:18 pm,Miscellaneous,Decimal Handling <Pinelabs>,FINTECH INNOVATIONS PRIVATE LIMITED_6927,,
69393916,10/1/2024,8:04 am,Miscellaneous,PG_MERCHANT_MID_TID_INFO Daily was executed at 01-10-2024 08:00:05,Internal,,
69398705,10/1/2024,10:35 am,Miscellaneous,RE: Delay In Merchant Settlement | Billdesk-Netbanking | Transaction dated 19th Aug-24 NewTicket,Internal,,
69393903,10/1/2024,8:00 am,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 10/01/2024 08:00:00 for pgsupport@pinelabs.com,NA,,
69452318,10/2/2024,8:04 am,Miscellaneous,PG_MERCHANT_MID_TID_INFO Daily was executed at 02-10-2024 08:00:06,Internal,,
69453794,10/2/2024,9:29 am,Miscellaneous,you want Guest Posting services,NA,,
69452312,10/2/2024,8:00 am,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 10/02/2024 08:00:00 for pgsupport@pinelabs.com,NA,,
69505657,10/3/2024,4:00 pm,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 10/03/2024 16:00:00 for pgsupport@pinelabs.com,,,
69505655,10/3/2024,4:00 pm,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 10/03/2024 16:00:00 for pluralservice@pinelabs.com,,,
69508941,10/3/2024,5:04 pm,Miscellaneous,Pinelabs MID Discussion,,,
69489259,10/3/2024,10:09 am,Miscellaneous,Rejection reason clarity required | Pinelabs - Finlogic,Financial Portfolio Mangrs Association Fintech PG,,
69504847,10/3/2024,3:25 pm,Miscellaneous,EMI Tenure issue _ VOC,APPLIANCES INDIA PRIVATE LIMITED,,
69504303,10/3/2024,2:59 pm,Miscellaneous,Need Plural training,Systems Private Limited_6816,,
69537433,10/4/2024,8:09 pm,Miscellaneous,I would like to know more about your business.,,,
69527042,10/4/2024,1:41 pm,Miscellaneous,Bank logos for Online PG,,,
69531323,10/4/2024,4:00 pm,Miscellaneous,Pine Labs Email Security | Quarantine Messages | 10/04/2024 16:00:00 for pluralservice@pinelabs.com,,,
69538559,10/4/2024,9:54 pm,Miscellaneous,RE: Cred - Education | Rate Revision (Sep'24) NewTicket,Innovate Paytech solution Private LTD,,
69530010,10/4/2024,3:31 pm,Miscellaneous,Re: APMI live bank list required,internal,,
69534281,10/4/2024,4:56 pm,Miscellaneous,Billdesk_Fee to be created_04 Oct 2024,Internal,,
69525304,10/4/2024,12:30 pm,Miscellaneous,AXIS FIRC - September 2024,NA,,
69525411,10/4/2024,12:32 pm,Miscellaneous,Grooming: Subscription SOP,NA,,
69538193,10/4/2024,9:16 pm,Miscellaneous,Re: SF Cases - 69099837 and 69099325 NewTicket,NA,,
69526747,10/4/2024,1:26 pm,Miscellaneous,Commercial Change request - Paycel,Payment Solutions India Private Limited PG,,
69554945,10/5/2024,4:48 pm,Miscellaneous,MIS report required NewTicket,Retail Mart India Private Limited PG,,
69597388,10/7/2024,4:15 pm,Miscellaneous,RE: Cred - Rental | Oct'24 NewTicket,Innovate Paytech solution Private LTD,,
69598261,10/7/2024,4:32 pm,Miscellaneous,RE: Discount/Cashback Invoice PG-Non-validated May-23_Croma,DIGITAL COMMERCE LTD,,
69594340,10/7/2024,3:21 pm,Miscellaneous,AXIS FIRC - September 2024 NewTicket,NA,,
69598729,10/7/2024,4:54 pm,Miscellaneous,PineLabs || Flags Enablement - Techaircraft Solution Private Limited,AIRCRAFT SOLUTION PRIVATE LIMITED_6935,,
69619932,10/8/2024,2:04 pm,Miscellaneous,[INC-569] Request Resolved : Re: [EXT]RE: [External] Re: PAYTM INTEGRATRION NOT WORKING,,,
69640542,10/8/2024,7:10 pm,Miscellaneous,MID,Tech Solutions Pvt Ltd PG Appliances,,
69634833,10/8/2024,5:45 pm,Miscellaneous,"Dreamplug Paytech- Balance Confirmation at at Sept 30, 2024-CRED",Innovate Paytech solution Private LTD,,
69641118,10/8/2024,7:24 pm,Miscellaneous,Status Check Api Query ( MID :- 326877 ),TECHARRAY NETWORK PVT LTD PG TICKETING,,
69631746,10/8/2024,5:02 pm,Miscellaneous,Sponsored guest post opportunity,NA,,
69633663,10/8/2024,5:25 pm,Miscellaneous,Request for payout option enabled from v2 dashboard,TAX CONSULTANCY SERVICES,,
69629205,10/8/2024,4:37 pm,Miscellaneous,Request to Include HDFC Bank in Plural Checkout Page,Healthcare Hospitals Private Limited_6833,,
69620936,10/8/2024,2:39 pm,Miscellaneous,Cancellation of Cards as a Payment Mode,Community Small Finance Bank PG,,
69606783,10/8/2024,9:24 am,Miscellaneous,RE: Fw: FW: Urgent: TDS recovery Pinelab,Retail Mart India Private Limited PG,,
69660703,10/9/2024,4:48 pm,Miscellaneous,MIS Calculation Issue,Web Solutions India Pvt Ltd PG,,
69664897,10/9/2024,7:04 pm,Miscellaneous,Enable SDS for GB Cash,TECH Technologies Private Limited_6966,,
69655628,10/9/2024,1:20 pm,Miscellaneous,Re:[## 618498 ##] Re: ARN not available for the refund transaction of 71533.34/- for the cancelled order #1547928916,retail concepts private limited_6962,,
69664749,10/9/2024,6:54 pm,Miscellaneous,[##618871##] Your ticket has been created,Internal,,
69660222,10/9/2024,4:26 pm,Miscellaneous,STANVERSE TECHNOLOGIES PRIVATE LIMITED | payment rejected  | RBL,TECHVERSE TECHNOLOGIES PRIVATE LIMITED_6874,,
69646680,10/9/2024,9:56 am,Miscellaneous,Identify the OEM,Electronics Commerce Private Limited,,
69690241,10/10/2024,2:06 pm,Miscellaneous,FW: Your merchant payout report (MPR) - consolidated for 09 Oct 2024 is ready,APPLIANCES INDIA PRIVATE LIMITED,,
69702851,10/10/2024,7:24 pm,Miscellaneous,Re: Errors on your site---,NA,,
69691649,10/10/2024,3:26 pm,Miscellaneous,Pay By Link Issue,PAY BY LINK,,
69678848,10/10/2024,11:10 am,Miscellaneous,<Urgent>TDS Reimbursement FTM Sep'24_INR 2.93 lac/-_Pine Labs Pvt. Ltd [4786080],Electronics India Private Limited PG,,
69685151,10/10/2024,12:43 pm,Miscellaneous,Re: Fw: Your merchant payout report (MPR) -  for 10-Oct-2024 07:00:00 is ready,Electronics India Private Limited PG,,
69681963,10/10/2024,11:56 am,Miscellaneous,Skyfull || Pricing revision,MAINTENANCE SERVICES PRIVATE LIMITED_6973,,
69693092,10/10/2024,4:06 pm,Miscellaneous,RE: PARTIAL REFUND,Retail Mart India Private Limited PG,,
69727866,10/11/2024,7:08 pm,Miscellaneous,HDFC_Wolf_Fee to be created_11 Oct 2024,Finance Company Limited,,
69727920,10/11/2024,7:11 pm,Miscellaneous,Billdesk_Fee to be created_11 Oct 2024,CAPITAL PVT LTD FINTECH PG,,
69717698,10/11/2024,2:41 pm,Miscellaneous,RE: EXT: Refund to Ledger for Ananta Lakshmi #INC44138223,Retail Mart India Private Limited PG,,
69717508,10/11/2024,2:27 pm,Miscellaneous,URGENT: Settlement Bank Account is wrong,Tech Infinity Technology Pvt Ltd_6827,,
